[00:00 - 00:04] भारत माता की भारत माता की (Confidence: 0.96)
[00:04 - 00:12]  मां शिप्रा (Confidence: 0.51)
[261:27 - 268:22]  देश में (Confidence: 0.77)
[268:22 - 275:20]  सत्तारूढ़ सरकार को (Confidence: 0.95)
[275:20 - 282:25]  हटाने के लिए जनता को खड़े होते देखा है (Confidence: 0.96)
[282:25 - 289:34]  लेकिन इस बार कश्मीर से कन्याकुमारी (Confidence: 0.96)
[289:34 - 296:47]  कब से काम लो (Confidence: 0.64)
[296:47 - 304:10]  इस बार इस सरकार को दोबारा चुनने के लिए देश खड़ा हो गया है (Confidence: 0.88)
[304:10 - 311:39] अक्सर (Confidence: 0.60)
[311:39 - 319:12]  यह भी कहा जाता है (Confidence: 0.91)
[319:12 - 326:51]  किस देश का मोटर बहुत साइलेंट होता है (Confidence: 0.82)
[326:51 - 334:36]  लेकिन इस बार (Confidence: 0.97)
[334:36 - 342:26]  जनता बोल रही है जोर-जोर से बोल रही है (Confidence: 0.94)
[342:26 - 350:21]  और यही कारण है (Confidence: 0.96)
[350:21 - 358:20]  बहुत सारे नेता (Confidence: 0.96)
[358:20 - 366:23]  जिन की नींद हराम हो गई है (Confidence: 0.81)
[366:23 - 374:30]  अब उन्होंने बोलने में (Confidence: 0.95)
[374:30 - 382:41]  संतुलन भी खो दिया है (Confidence: 0.81)
[382:41 - 390:54]  भौंक रहे हैं (Confidence: 0.55)
[390:54 - 399:09]  साथियों (Confidence: 0.96)
[399:09 - 407:29]  2014 का चुनाव (Confidence: 0.95)
[407:29 - 415:52]  एंटी इनकंबेंसी का था (Confidence: 0.85)
[415:52 - 424:20]  2019 का चुनाव (Confidence: 0.96)
[424:20 - 432:51]  इनकंबेंसी का (Confidence: 0.94)
[432:51 - 441:29]  2014 में भ्रष्टाचार (Confidence: 0.94)
[441:29 - 450:12]  वंशवाद और पॉलिसी पैरालिसिस के खिलाफ (Confidence: 0.83)
[450:12 - 459:02]  आक्रोश चरम पर था 2019 में (Confidence: 0.96)
[459:02 - 467:57]  जनता का विश्वास चरम पर है (Confidence: 0.95)
[467:57 - 476:55]  2014 में (Confidence: 0.93)
[476:55 - 486:04]  देश में मोदी और मोदी के काम के बारे में सिर्फ सुना था (Confidence: 0.93)
[486:04 - 495:23]  2019 में देश मोदी के काम को जानने लगा (Confidence: 0.94)
[495:23 - 504:46]  2019 का चुनाव (Confidence: 0.96)
[504:46 - 514:13]  केवल (Confidence: 0.92)
[514:13 - 523:51]  भारतीय जनता पार्टी नहीं लड़ रही है बल्कि 2019 का चुनाव (Confidence: 0.95)
[523:51 - 533:33]  भारतीय जनता लड़ रही है (Confidence: 0.96)
[533:33 - 543:24]  130 करोड़ देशवासी चुनाव का नेतृत्व कर रहे हैं (Confidence: 0.91)
[543:24 - 553:18]  साथियों (Confidence: 0.96)
[553:18 - 563:13]  मेरी निशा (Confidence: 0.89)
[563:13 - 573:11]  मेरी नियत (Confidence: 0.89)
[573:11 - 583:13]  और मेरी नीति का आकलन (Confidence: 0.95)
[583:13 - 593:19]  कम ज्यादा हो सकता है (Confidence: 0.88)
[593:19 - 603:26]  लेकिन (Confidence: 0.96)
[603:26 - 613:44]  मेरे इरादों में कोई खोट नहीं निकाल सकता यह मैं विश्वास के साथ कह सकता हूं (Confidence: 0.91)
[613:44 - 624:06]  ऐसा इसलिए है (Confidence: 0.91)
[624:06 - 634:30]  क्योंकि मैं (Confidence: 0.92)
[634:30 - 645:03]  जनता के बीच में रहता हूं जनता से निरंतर संवाद करता (Confidence: 0.95)
[645:03 - 655:39]  मैंने कभी भी (Confidence: 0.96)
[655:39 - 666:20]  और कंडीशन कैब कमरों में बैठकर के (Confidence: 0.68)
[666:20 - 677:05]  मौज मस्ती नहीं मारी है (Confidence: 0.90)
[677:05 - 687:55]  नीति निर्माण (Confidence: 0.96)
[687:55 - 698:48]  पर मैंने (Confidence: 0.94)
[698:48 - 709:54]  बाबूजी की दुनिया छोड़ कर के जनभागीदारी से देश में परिवर्तन लाने का प्रयास किया (Confidence: 0.85)
[709:54 - 721:02]  भाइयों और बहनों (Confidence: 0.76)
[721:02 - 732:15]  बीते 5 वर्ष में (Confidence: 0.74)
[732:15 - 743:29]  हमने (Confidence: 0.56)
[743:29 - 754:49]  टेक्नोलॉजी और ट्रांसफर अंशी (Confidence: 0.75)
[754:49 - 766:11]  इस पर विशेष ध्यान दिया (Confidence: 0.96)
[766:11 - 777:38]  आज आप एक ही (Confidence: 0.66)
[777:38 - 789:10]  टेक्नोलॉजी के मामले में भारत की (Confidence: 0.94)
[789:10 - 800:45]  ग्लोबल स्टेनिंग कहां पहुंची (Confidence: 0.84)
[800:45 - 812:36]  देखते ही देखते भारत दुनिया का तीसरा बड़ा स्टार्टअप इकोसिस्टम बन गया है दुनिया का तीसरा (Confidence: 0.94)
[812:36 - 824:32]  हमारे युवा साथियों को (Confidence: 0.96)
[824:32 - 836:37]  भरपूर अवसर मिल सके इसके लिए आने वाले 5 वर्षों में हम (Confidence: 0.92)
[836:37 - 848:48]  इस इकोसिस्टम को स्टार्टअप की फंडिंग को (Confidence: 0.81)
[848:48 - 861:03]  और सशक्त करने वाले (Confidence: 0.96)
